Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIR	90mDIR	60mDIR	120mTEMP	10mTEMP	PRESS
10115	0000	5.15	0.98	2.93	1.12	3	0.8	2.7	0.72	2.23	0.6	97	239	108.28	25.05	24.57	997.61
10115	0010	4.19	0.82	2.05	0.88	3.1	0.69	2.96	0.38	2.08	0.53	105	239	123.75	25.05	24.57	997.61
10115	0020	3.96	0.75	3.86	0.8	3.77	0.85	3.12	0.5	2.42	0.5	146	239	160.31	24.93	24.69	997.61
10115	0030	6.46	1.39	6.4	1.3	6.88	1.12	6.47	0.9	4.85	0.89	122	239	129.38	24.32	23.71	997.39
10115	0040	4.02	1.31	3.38	1.14	4.01	0.9	3.97	0.79	2.78	0.95	110	239	109.69	25.18	23.59	997.25
10115	0050	2.64	0.99	2.01	0.95	2.93	0.71	2.71	0.65	1.62	0.84	96	239	97.03	25.42	23.47	997.03
10115	0100	2.86	0.84	2.15	0.85	1.63	1.11	0.97	0.83	0.86	0.69	87	239	56.25	25.42	23.59	996.88
10115	0110	1.6	0.56	1.05	0.15	0.56	0.68	0.31	0.1	0.66	0.73	65	239	23.91	25.05	23.71	996.81
10115	0120	1.6	0.71	1.16	0.47	1.74	0.47	1.04	0.82	0.79	0.61	349	239	324.84	24.69	23.96	996.81
10115	0130	1.11	0.23	1.04	0.21	1.29	0.44	0.44	0.41	0.43	0.4	3	239	324.84	24.69	23.96	996.66
10115	0140	1.57	0.41	1.32	0.74	1.96	0.4	1.38	0.18	0.32	0.21	297	239	305.16	24.57	23.96	996.44
10115	0150	1.92	0.42	1.77	0.44	2.34	0.34	1.34	0.35	0.32	0.23	309	239	324.84	25.05	23.71	996.3
10115	0200	1.99	0.33	1.63	0.4	2.15	0.43	1.52	0.27	0.5	0.5	315	239	334.69	24.93	23.96	996.22
10115	0210	1.97	0.44	1.93	0.42	2.48	0.34	2.15	0.25	0.99	0.47	322	239	334.69	24.69	23.83	996.15
10115	0220	1.9	0.51	2.1	0.46	2.75	0.38	2.28	0.23	0.99	0.49	342	239	343.13	24.69	24.08	996
10115	0230	2.28	0.54	2.35	0.47	2.86	0.38	2.52	0.27	0.85	0.56	332	239	336.09	24.93	24.2	995.93
10115	0240	3.11	0.41	3.12	0.44	3.43	0.43	3.02	0.1	1.38	0.62	328	239	336.09	24.81	24.2	995.93
10115	0250	3.79	0.27	3.68	0.23	3.77	0.25	2.65	0.23	0.9	0.61	328	239	327.66	25.05	24.08	996
10115	0300	4.42	0.21	3.92	0.23	3.65	0.29	2.32	0.31	0.51	0.53	321	239	322.03	24.81	24.2	996
10115	0310	4.35	0.31	3.66	0.31	3.36	0.4	2.11	0.37	0.64	0.61	319	239	317.81	24.69	24.32	996
10115	0320	4.39	0.25	4.01	0.38	3.43	0.35	2.28	0.41	1.08	0.72	330	239	330.47	24.69	24.32	995.93
10115	0330	4.53	0.29	3.58	0.38	3.25	0.35	1.83	0.52	0.45	0.46	321	239	324.84	24.69	24.2	996
10115	0340	4.59	0.21	3.69	0.29	3.27	0.34	2.05	0.31	0.52	0.51	321	239	323.44	24.69	24.2	995.93
10115	0350	4.45	0.27	3.67	0.31	3.1	0.37	1.79	0.35	0.38	0.35	333	239	337.5	24.69	24.2	996
10115	0400	3.42	0.46	3.25	0.36	3.29	0.27	1.94	0.23	0.32	0.18	332	239	330.47	24.93	24.08	996
10115	0410	3.07	0.33	3.15	0.34	3.22	0.35	1.21	0.83	0.3	0.1	336	239	344.53	25.05	24.08	996
10115	0420	3.11	0.29	3.04	0.38	3.41	0.29	1.65	0.63	0.3	0.15	339	239	351.56	25.05	24.08	996
10115	0430	2.92	0.53	3.35	0.5	3.69	0.31	1.87	0.97	0.59	0.53	347	239	350.16	25.05	23.96	996
10115	0440	3.3	0.48	3.47	0.29	3.08	0.4	1.69	0.66	0.3	0.1	345	239	350.16	24.93	23.83	996.15
10115	0450	3.64	0.27	3.52	0.25	3.43	0.43	2.61	0.31	1.01	0.65	336	239	336.09	24.81	23.83	996.37
10115	0500	3.96	0.27	3.77	0.27	4.13	0.31	3.03	0.15	1.53	0.18	325	239	326.25	24.81	23.83	996.37
10115	0510	3.88	0.33	3.65	0.37	4.18	0.29	3.31	0.18	1.54	0.38	328	239	330.47	24.69	23.83	996.37
10115	0520	3.9	0.31	3.52	0.44	4.06	0.34	3.38	0.23	1.84	0.42	318	239	323.44	24.81	23.71	996.37
10115	0530	4.36	0.29	4.25	0.25	4.44	0.23	3.55	0.21	2.01	0.46	305	239	302.34	24.81	23.83	996.3
10115	0540	3.34	0.57	3.24	0.54	3.49	0.49	2.41	0.54	0.71	0.67	326	239	326.25	24.57	23.83	996.3
10115	0550	2.57	0.48	2.66	0.31	3.06	0.32	2.48	0.32	0.89	0.6	346	239	344.53	24.81	23.83	996.22
10115	0600	3.26	0.36	3.12	0.27	3.41	0.31	3.16	0.15	1.84	0.21	332	239	343.13	24.93	23.96	996.22
10115	0610	3.86	0.27	3.72	0.31	3.98	0.34	3.92	0.21	2.41	0.31	325	239	337.5	25.18	23.83	996.3
10115	0620	3.95	0.37	3.71	0.31	4.06	0.4	3.79	0.35	2	0.84	332	239	331.88	25.18	23.83	996.52
10115	0630	2.93	0.33	2.72	0.34	3.18	0.32	2.07	0.5	0.3	0.1	336	239	333.28	24.93	23.83	996.81
10115	0640	2.69	0.33	2.41	0.29	3.04	0.29	1.66	0.21	0.29	0	330	239	320.63	24.93	23.83	997.03
10115	0650	2.62	0.39	2.59	0.34	2.99	0.38	1.64	0.21	0.29	0	323	239	313.59	24.81	23.71	997.25
10115	0700	1.8	0.51	1.53	0.62	2.49	0.35	1.72	0.15	0.29	0	350	239	344.53	24.81	23.83	997.32
10115	0710	2.44	0.73	1.74	0.73	2.1	0.61	1.21	0.6	0.29	0	312	239	324.84	25.05	23.96	997.47
10115	0720	2.19	0.5	1.74	0.53	2.11	0.52	0.49	0.5	0.32	0.34	328	239	343.13	25.54	24.08	997.61
10115	0730	2.4	0.63	2	0.53	2.54	0.63	0.46	0.45	0.29	0	343	239	354.38	25.79	24.2	997.69
10115	0740	2.89	0.73	2.43	0.46	2.84	0.41	1.71	0.77	0.4	0.38	326	239	345.94	25.91	24.2	997.76
10115	0750	2.73	0.44	2.59	0.54	2.65	0.54	1.26	0.98	0.8	0.76	323	239	343.13	26.27	24.44	997.91
10115	0800	3.05	0.44	3.01	0.42	2.81	0.42	1.82	0.5	1.19	0.69	336	239	344.53	26.4	24.69	998.05
10115	0810	2.77	0.67	2.54	0.6	2.75	0.48	2.19	0.49	1.85	0.6	338	239	341.72	26.4	24.81	998.27
10115	0820	1.91	0.59	1.61	0.69	2.31	0.65	1.88	0.75	1.5	0.66	350	239	352.97	26.64	25.05	998.42
10115	0830	1.93	0.73	1.95	0.79	2.64	0.67	2.54	0.72	1.9	0.77	350	239	352.97	26.64	25.18	998.64
10115	0840	1.81	0.84	1.72	0.58	2.4	0.54	1.85	0.65	1.15	0.72	349	239	344.53	26.89	25.42	998.71
10115	0850	1.94	0.76	1.86	0.79	2.11	0.72	1.71	0.76	1.2	0.83	347	239	358.59	27.25	25.54	998.86
10115	0900	2.19	0.51	1.84	0.6	2.27	0.64	1.95	0.67	1.6	0.92	354	239	358.59	27.01	25.42	998.93
10115	0910	2.08	0.54	1.73	0.67	2.09	0.68	1.71	0.76	1.15	0.83	357	239	2.81	26.76	25.66	998.86
10115	0920	2.34	0.69	2.1	0.78	2.4	0.71	2.03	0.85	1.57	0.9	359	239	12.66	27.13	26.03	998.79
10115	0930	2.7	0.64	2.48	0.65	2.39	0.59	1.88	0.61	1.41	0.86	4	239	11.25	27.01	25.91	998.86
10115	0940	2.22	0.63	2.36	0.66	2.33	0.59	1.55	0.87	0.97	0.87	10	239	19.69	27.25	26.4	998.79
10115	0950	2.11	0.76	2.14	0.74	2.02	0.69	1.36	0.82	0.99	0.72	3	239	19.69	27.37	26.64	998.79
10115	1000	2.42	0.76	2.17	0.83	2.24	0.98	1.59	1.2	1.34	1.03	349	239	357.19	27.98	26.76	998.71
10115	1010	2.46	1.04	2.5	0.83	2.24	1	1.64	1.1	1.4	1.08	335	239	351.56	28.47	27.13	998.86
10115	1020	2.06	0.93	2.11	0.87	2.06	1.09	1.67	1.11	1.6	1.11	333	239	351.56	28.72	27.13	998.93
10115	1030	2.82	0.73	2.76	0.73	2.76	0.98	2.33	0.97	1.97	1.04	325	239	340.31	28.84	27.25	998.93
10115	1040	3.1	0.63	3.07	0.73	3.07	0.73	2.59	1	2.34	1.08	329	239	336.09	28.84	27.5	998.93
10115	1050	2.6	0.74	2.89	0.63	3.01	0.61	2.53	0.7	2.35	0.81	325	239	322.03	28.96	27.62	998.93
10115	1100	3.89	0.9	3.59	0.98	3.12	0.95	2.71	1.09	2.61	0.93	318	239	341.72	29.2	27.98	998.79
10115	1110	2.5	0.67	2.75	0.63	2.84	0.58	2.31	0.68	2.27	0.66	278	239	282.66	28.47	28.11	998.71
10115	1120	3.03	0.71	3.09	0.7	3.02	0.9	2.38	1.11	2.3	0.86	325	239	340.31	28.96	28.23	998.71
10115	1130	2.87	0.95	2.96	0.84	3.04	0.66	2.54	0.84	2.36	0.69	290	239	312.19	28.96	28.11	998.64
10115	1140	3.46	0.69	3.55	0.66	3.46	0.71	3.18	0.86	2.83	0.94	267	239	274.22	28.96	28.72	998.42
10115	1150	3.81	0.71	3.64	0.63	3.43	0.66	2.99	0.57	2.67	0.64	285	239	289.69	28.84	28.84	998.27
10115	1200	2.53	0.72	2.42	0.72	2.4	0.66	1.92	0.73	1.95	0.75	278	239	284.06	29.08	28.96	998.2
10115	1210	2.2	0.69	2.26	0.68	2.07	0.73	1.34	1.03	1.39	1.09	291	239	281.25	29.57	29.33	998.05
10115	1220	2.01	0.82	2.38	0.72	2.5	0.76	1.97	1.13	1.79	1.15	287	239	306.56	30.06	29.45	997.83
10115	1230	2.65	0.59	2.68	0.64	2.51	0.54	2	0.75	1.93	0.78	277	239	279.84	29.94	29.57	997.69
10115	1240	1.93	0.58	1.97	0.62	1.87	0.7	1.29	1.03	1.21	0.94	255	239	251.72	29.57	29.45	997.54
10115	1250	1.81	0.73	2.05	0.57	1.99	0.55	1.51	0.77	1.6	0.72	217	239	212.34	29.2	29.69	997.39
10115	1300	1.58	0.65	1.83	0.7	1.7	0.8	0.97	0.84	0.87	0.82	205	239	210.94	29.2	29.81	997.17
10115	1310	1.27	0.5	1.4	0.6	1.44	0.77	0.55	0.58	0.64	0.64	214	239	205.31	30.43	30.91	996.95
10115	1320	1.77	1.08	1.89	1.12	1.74	1.18	0.98	1.18	0.8	0.98	259	239	203.91	30.79	30.91	996.81
10115	1330	1.62	0.65	1.88	0.57	1.76	0.71	0.95	1.13	0.97	1.12	250	239	257.34	30.43	30.55	996.59
10115	1340	1.7	0.63	1.76	0.66	1.55	0.69	0.73	0.74	0.68	0.67	252	239	248.91	30.3	31.04	996.44
10115	1350	1.79	0.77	1.83	0.78	1.61	0.74	0.89	0.86	0.97	0.83	239	239	230.63	30.55	31.16	996.3
10115	1400	2.75	0.49	2.95	0.42	2.82	0.48	2.44	0.56	2.42	0.56	269	239	277.03	30.67	30.79	996.08
10115	1410	2.65	0.59	2.82	0.59	2.86	0.48	2.53	0.54	2.53	0.5	274	239	299.53	30.43	30.43	995.93
10115	1420	1.82	0.77	1.82	0.76	1.7	0.71	1.21	0.9	1.33	0.87	210	239	217.97	30.43	30.55	995.78
10115	1430	1.83	0.73	2.13	0.71	2	0.72	1.41	1.06	1.48	1.06	226	239	206.72	31.04	31.16	995.56
10115	1440	1.44	0.62	1.75	0.69	1.73	0.71	1.11	1.06	1.23	1.03	252	239	265.78	30.91	30.91	995.34
10115	1450	1.41	0.57	1.6	0.68	1.54	0.58	0.72	0.69	0.82	0.75	236	239	260.16	31.04	31.28	995.34
10115	1500	1.69	0.67	2.01	0.52	1.82	0.54	1.28	0.85	1.53	0.49	243	239	247.5	30.67	31.04	995.27
10115	1510	1.43	0.68	1.79	0.71	1.67	0.76	0.89	0.79	1.08	0.76	267	239	262.97	30.55	30.55	995.27
10115	1520	2.59	0.4	2.87	0.4	2.85	0.46	2.41	0.45	2.22	0.42	271	239	282.66	30.55	30.3	995.27
10115	1530	2.43	0.45	2.79	0.38	2.8	0.4	2.29	0.38	2.1	0.43	274	239	282.66	30.06	29.94	995.27
10115	1540	2.14	0.4	2.4	0.4	2.54	0.42	2.1	0.46	1.96	0.4	273	239	275.63	30.18	29.94	995.27
10115	1550	4.11	1.87	4.19	1.72	3.94	1.51	3.31	1.57	3.06	1.44	260	239	272.81	30.67	30.18	995.27
10115	1600	6.12	0.76	5.49	0.74	4.98	0.68	4.19	0.68	3.8	0.86	257	239	267.19	29.57	29.2	995.42
10115	1610	5.94	0.61	5.78	0.66	5.56	0.73	5.02	0.78	4.52	0.84	260	239	268.59	29.69	29.69	995.34
10115	1620	6.98	0.82	6.79	0.87	6.44	0.94	6.08	0.97	5.65	0.95	257	239	267.19	29.81	29.69	995.49
10115	1630	6.18	0.73	5.97	0.75	5.42	0.65	4.66	0.63	4.13	0.64	260	239	265.78	29.45	29.08	995.64
10115	1640	6.76	0.51	6.28	0.56	5.77	0.58	4.98	0.72	4.44	0.68	253	239	261.56	29.08	28.96	995.71
10115	1650	6.14	0.67	5.69	0.81	5.41	0.77	4.65	0.86	4.14	0.79	255	239	260.16	29.2	29.08	995.71
10115	1700	6.97	1.06	6.71	1.2	6.27	1.01	5.41	1.03	4.92	0.94	257	239	264.38	29.33	29.33	995.78
10115	1710	7.41	0.66	7.18	0.8	6.72	0.8	5.74	0.77	5.02	0.85	257	239	264.38	29.2	28.96	995.93
10115	1720	7.64	0.69	7.2	0.73	6.69	0.76	5.91	0.77	5.11	0.71	262	239	268.59	29.08	28.84	995.86
10115	1730	7.51	0.62	7.14	0.63	6.49	0.61	5.72	0.76	5.01	0.76	262	239	268.59	28.96	28.59	996
10115	1740	7.32	0.51	6.86	0.61	6.05	0.59	4.92	0.68	4.34	0.77	263	239	270	28.84	28.47	996.15
10115	1750	7.21	0.61	6.67	0.7	5.87	0.74	4.92	0.92	4.04	0.77	262	239	270	28.59	28.23	996.3
10115	1800	6.8	0.84	6.21	0.8	5.34	0.71	4.12	0.72	3.37	0.73	262	239	270	28.47	28.11	996.44
10115	1810	7.77	1.16	7	1.21	5.99	0.94	5.04	0.87	4.3	0.9	262	239	268.59	28.11	27.86	996.44
10115	1820	8.93	0.73	8.17	0.77	7	0.73	5.64	0.76	4.63	0.87	263	239	271.41	27.86	27.5	996.59
10115	1830	9.11	0.8	8.43	0.83	7.38	0.87	5.92	0.93	4.85	0.89	262	239	268.59	27.74	27.25	996.66
10115	1840	9.15	0.66	8.48	0.69	7.13	0.84	5.71	0.81	4.59	0.77	260	239	268.59	27.62	27.13	996.81
10115	1850	9.62	0.87	8.83	0.99	7.71	0.85	6.32	0.92	5.32	0.97	259	239	267.19	27.5	27.01	997.03
10115	1900	10.37	1.01	9.38	1.13	7.96	0.99	6.64	1.23	5.35	1.26	259	239	267.19	27.5	27.01	997.1
10115	1910	10.25	0.98	9.31	1.09	8.05	0.92	6.72	0.81	5.54	0.95	256	239	264.38	27.5	27.01	997.32
10115	1920	9.34	1.04	8.24	0.96	6.93	0.97	5.19	0.98	4.23	1.1	259	239	267.19	27.5	27.01	997.47
10115	1930	5.97	1.15	4.77	1.48	3.92	1.27	2.35	1.41	1.47	0.84	263	239	275.63	27.25	26.76	997.83
10115	1940	4.9	0.96	3.31	1.07	1.9	1	0.38	0.34	0.5	0.5	257	239	254.53	26.89	26.64	997.91
10115	1950	7.76	1.9	5.99	1.93	4.89	1.53	3.25	1.79	1.81	1.72	263	239	268.59	26.89	26.52	998.05
10115	2000	9.87	0.88	8.94	1.06	7.48	0.97	5.75	0.99	4.63	1	264	239	271.41	27.13	26.64	998.05
10115	2010	11.03	0.79	10.14	0.87	8.51	0.97	7.11	1.12	5.78	0.98	263	239	270	27.25	26.64	998.13
10115	2020	10.19	0.78	9.22	0.87	7.87	0.88	6.46	0.74	5.11	0.81	263	239	268.59	27.13	26.52	998.2
10115	2030	9.97	0.75	9	0.78	7.6	0.68	6.02	0.77	5.03	0.62	264	239	274.22	27.01	26.27	998.35
10115	2040	9.42	0.71	8.56	0.7	7.37	0.64	5.8	0.65	4.4	0.77	264	239	277.03	26.76	26.27	998.49
10115	2050	9.5	0.95	8.37	0.86	7.01	0.82	5.76	0.65	4.43	0.66	263	239	271.41	26.76	26.03	998.64
10115	2100	9.31	0.63	8.36	0.66	7.09	0.65	5.48	0.67	4.26	0.63	263	239	272.81	26.76	26.03	998.71
10115	2110	8.63	0.56	7.81	0.62	6.62	0.65	5.08	0.79	3.84	0.66	266	239	274.22	26.64	25.91	998.79
10115	2120	9.32	0.62	8.31	0.67	6.88	0.63	5.26	0.66	4.07	0.66	264	239	271.41	26.52	25.79	998.79
10115	2130	10.02	0.44	9.27	0.47	7.77	0.59	6.06	0.66	4.57	0.78	266	239	272.81	26.4	25.54	998.93
10115	2140	10.11	0.42	9.32	0.55	7.92	0.56	6.01	0.65	4.68	0.64	264	239	270	26.4	25.54	998.93
10115	2150	9.64	0.54	8.74	0.68	7.15	0.56	5.58	0.6	4.35	0.62	262	239	268.59	26.27	25.42	998.93
10115	2200	8.48	0.51	7.74	0.54	6.43	0.55	4.85	0.46	3.72	0.47	259	239	264.38	26.15	25.18	998.93
10115	2210	8.12	0.29	7.21	0.36	5.99	0.35	4.4	0.35	3.18	0.45	259	239	264.38	26.03	25.05	999.08
10115	2220	7.81	0.53	6.76	0.45	5.47	0.38	3.95	0.34	2.74	0.29	257	239	262.97	26.03	24.93	999.08
10115	2230	7.67	0.34	6.92	0.37	5.66	0.37	4.08	0.25	2.78	0.23	260	239	265.78	25.91	24.69	999.15
10115	2240	8.14	0.41	7.41	0.46	6.25	0.4	4.54	0.32	2.9	0.25	260	239	268.59	25.91	24.57	999.15
10115	2250	8.47	0.37	7.77	0.37	6.71	0.37	5.1	0.34	3.39	0.32	263	239	270	25.91	24.57	999.15
10115	2300	8.57	0.36	7.85	0.38	6.78	0.34	4.97	0.31	3.2	0.32	263	239	271.41	25.91	24.44	999.08
10115	2310	8.7	0.33	7.82	0.36	6.53	0.42	4.88	0.35	3.34	0.32	264	239	268.59	25.79	24.44	999.08
10115	2320	7.68	0.66	7.11	0.54	6.12	0.47	4.63	0.37	3.26	0.31	270	239	268.59	26.03	24.2	999.01
10115	2330	6.85	0.53	5.65	0.38	5.04	0.23	4.12	0.29	2.87	0.42	271	239	272.81	26.03	24.2	999.01
10115	2340	6.95	0.55	5.65	0.55	4.48	0.42	3.29	0.29	2.15	0.23	273	239	282.66	26.03	24.08	998.93
10115	2350	7.01	0.54	5.88	0.41	4.85	0.38	3.46	0.32	2.39	0.15	273	239	281.25	26.03	24.2	998.93
10215	0000	7.34	0.41	6.45	0.47	5.19	0.43	3.57	0.37	2.45	0.29	274	239	281.25	25.91	24.2	998.86
10215	0010	8.22	0.37	7.22	0.51	5.69	0.51	3.56	0.31	2.29	0.21	274	239	285.47	26.52	23.96	998.71
10215	0020	7.46	0.31	6.2	0.38	4.81	0.4	3.08	0.21	1.9	0.15	276	239	291.09	26.27	23.71	998.71
10215	0030	7.11	0.23	6.21	0.31	5.33	0.47	3.36	0.29	2.11	0.15	276	239	292.5	26.27	23.59	998.79
10215	0040	7.52	0.31	6.64	0.31	5.86	0.32	3.86	0.37	2.18	0.29	276	239	295.31	26.15	23.59	998.71
10215	0050	7.5	0.37	6.8	0.42	6.13	0.43	4.22	0.61	2.57	0.58	281	239	302.34	26.03	23.59	998.64
10215	0100	8.86	0.59	8.09	0.61	6.87	0.53	4.65	0.52	3.05	0.54	285	239	296.72	25.79	23.59	998.49
10215	0110	8.07	0.45	7.22	0.38	6.32	0.43	4.33	0.46	2.96	0.42	298	239	299.53	25.66	23.71	998.42
10215	0120	7.7	0.33	7.19	0.27	6.13	0.35	3.83	0.45	2.39	0.4	302	239	305.16	25.3	23.59	998.27
10215	0130	7.01	0.23	6.27	0.47	4.8	0.56	2.71	0.37	1.62	0.29	304	239	303.75	24.93	23.22	998.2
10215	0140	6.69	0.18	5.87	0.25	4.5	0.32	2.96	0.21	1.59	0.23	312	239	303.75	24.93	23.1	998.13
10215	0150	6.55	0.23	5.87	0.23	4.9	0.38	3	0.29	1.74	0.23	316	239	305.16	24.69	23.1	998.13
10215	0200	6.28	0.21	5.79	0.21	5.17	0.23	3.19	0.34	1.66	0.27	322	239	310.78	24.57	22.86	998.05
10215	0210	6.6	0.21	6.1	0.27	5.4	0.23	3.47	0.23	1.99	0.21	325	239	320.63	24.44	22.86	997.98
10215	0220	6.6	0.21	6.34	0.21	5.41	0.23	3.69	0.25	2.07	0.27	329	239	327.66	24.44	22.61	997.83
10215	0230	6.49	0.21	6.13	0.18	5.53	0.25	3.62	0.23	1.98	0.23	335	239	333.28	24.57	22.61	997.69
10215	0240	6.27	0.23	5.97	0.23	5.96	0.2	3.84	0.31	2.09	0.27	330	239	330.47	24.57	22.73	997.61
10215	0250	6.03	0.18	5.94	0.21	5.38	0.31	2.88	0.43	1.19	0.31	332	239	331.88	24.57	22.49	997.54
10215	0300	5.87	0.29	5.69	0.29	4.86	0.34	2.24	0.32	0.51	0.5	336	239	336.09	24.44	22.49	997.54
10215	0310	5.64	0.25	5.48	0.21	4.6	0.41	2.38	0.35	0.72	0.6	338	239	336.09	24.44	22.61	997.61
10215	0320	5.37	0.27	4.75	0.25	5.01	0.27	2.93	0.18	1.19	0.42	340	239	333.28	24.57	22.73	997.69
10215	0330	5.07	0.29	4.65	0.23	4.74	0.23	2.69	0.18	0.56	0.52	342	239	331.88	24.57	22.73	997.76
10215	0340	4.55	0.65	5.11	0.27	4.86	0.25	2.85	0.15	1.19	0.42	347	239	337.5	24.57	22.73	997.69
10215	0350	3.91	0.63	3.33	0.79	4.91	0.31	2.71	0.27	0.65	0.6	359	239	350.16	24.44	22.73	997.69
10215	0400	3.42	0.49	3.34	0.72	4.51	0.47	2.5	0.31	1.04	0.46	354	239	352.97	24.2	22.73	997.69
10215	0410	3.51	0.53	4.28	0.46	4.29	0.32	2.35	0.18	1.43	0.18	350	239	343.13	24.2	22.49	997.76
10215	0420	3.3	0.58	3.86	0.59	3.71	0.34	2.26	0.21	1.56	0.15	352	239	336.09	24.08	22.37	997.91
10215	0430	3.55	0.65	3.45	0.73	3.7	0.41	2.29	0.18	1.36	0.21	350	239	341.72	24.08	22.37	997.98
10215	0440	3.89	0.61	3.65	0.56	3.65	0.48	2.21	0.25	0.79	0.55	343	239	338.91	23.96	22.37	997.98
10215	0450	4.51	0.42	4.06	0.36	3.8	0.38	2.44	0.37	1.21	0.38	336	239	331.88	23.83	22.49	998.13
10215	0500	4.42	0.39	4.02	0.46	3.91	0.47	2.9	0.42	1.7	0.27	332	239	331.88	23.71	22.73	998.2
10215	0510	4.06	0.57	3.33	0.8	3.11	0.85	2.21	0.88	1.6	0.73	326	239	329.06	23.59	22.98	998.35
10215	0520	3.99	0.51	3.44	0.48	3.36	0.48	2.6	0.4	1.83	0.42	329	239	329.06	23.47	22.73	998.27
10215	0530	4.29	0.44	3.67	0.46	3.53	0.46	2.67	0.23	1.61	0.27	332	239	330.47	23.47	22.61	998.35
10215	0540	4.61	0.54	4.31	0.56	4.22	0.44	2.72	0.46	1.6	0.42	330	239	329.06	23.47	22.73	998.49
10215	0550	4.62	0.41	4.36	0.45	4.28	0.42	3.09	0.35	2.09	0.37	333	239	334.69	23.47	22.86	998.57
10215	0600	4.53	0.47	4.18	0.4	3.96	0.38	2.79	0.4	1.95	0.35	335	239	333.28	23.47	23.1	998.64
10215	0610	4.51	0.42	4.24	0.45	3.85	0.44	2.74	0.41	1.74	0.41	333	239	327.66	23.47	23.1	998.79
10215	0620	4.4	0.53	4.15	0.42	3.82	0.4	2.68	0.34	1.69	0.34	336	239	334.69	23.47	23.1	998.86
10215	0630	4.42	0.61	4.21	0.55	3.93	0.4	2.46	0.42	1.35	0.48	342	239	340.31	23.47	23.1	999.08
10215	0640	3.99	0.67	4.1	0.5	4.08	0.34	2.79	0.47	1.61	0.31	346	239	347.34	23.59	23.22	999.23
10215	0650	4.89	0.6	4.64	0.57	4.09	0.5	2.92	0.51	1.89	0.42	340	239	344.53	23.71	23.35	999.37
10215	0700	4.07	0.79	3.94	0.63	3.87	0.53	2.42	0.57	1.27	0.55	346	239	347.34	23.71	23.35	999.52
10215	0710	3.47	0.62	3.29	0.72	3.76	0.47	1.89	0.94	1.05	0.69	349	239	354.38	23.83	23.59	999.66
10215	0720	3.03	0.58	2.24	0.63	2.13	0.8	1.17	0.65	0.91	0.49	353	239	0	24.08	23.59	999.81
10215	0730	2.85	0.55	2.36	0.48	2.52	0.9	0.99	0.67	0.67	0.57	354	239	0	24.44	23.59	999.96
10215	0740	2.62	0.41	2.35	0.55	2.72	0.41	0.52	0.51	0.33	0.21	352	239	358.59	24.93	23.96	1000.1
10215	0750	3.03	0.51	2.74	0.29	2.47	0.46	0.89	0.64	0.45	0.45	345	239	343.13	25.3	24.2	1000.32
10215	0800	3.41	0.34	2.7	0.49	2.44	0.55	1.45	0.68	1.18	0.74	332	239	331.88	25.66	24.44	1000.47
10215	0810	2.89	0.46	2.34	0.5	2.27	0.52	1.76	0.62	1.49	0.58	316	239	315	26.03	24.69	1000.62
10215	0820	2.57	0.39	2.32	0.46	2.48	0.42	2.25	0.4	2.13	0.41	312	239	316.41	25.91	24.81	1000.76
10215	0830	3.09	0.51	3.03	0.72	3.26	0.6	2.96	0.67	2.66	0.77	285	239	289.69	25.42	24.81	1001.06
10215	0840	3.64	0.34	3.72	0.34	3.91	0.32	3.68	0.41	3.46	0.43	283	239	284.06	24.57	24.44	1001.2
10215	0850	3.55	0.39	3.56	0.36	3.7	0.48	3.39	0.45	3.05	0.52	295	239	295.31	24.44	24.44	1001.28
10215	0900	3.29	0.47	3.25	0.38	3.36	0.38	3.14	0.48	3	0.47	304	239	305.16	25.18	24.81	1001.28
10215	0910	3.28	0.53	3.13	0.48	3.29	0.46	3.14	0.48	2.8	0.59	314	239	310.78	26.03	25.18	1001.28
10215	0920	3.37	0.69	3.34	0.59	3.3	0.61	3.06	0.57	2.91	0.54	315	239	317.81	26.64	25.42	1001.28
10215	0930	3.17	0.57	3.06	0.67	3.12	0.69	2.82	1.07	2.59	0.99	323	239	329.06	27.01	25.91	1001.2
10215	0940	3.38	0.45	3.32	0.5	3.35	0.51	2.84	0.59	2.47	0.67	325	239	327.66	27.62	26.03	1001.13
10215	0950	3.34	0.48	3.43	0.55	3.44	0.65	3.13	0.61	2.88	0.75	316	239	334.69	27.98	26.4	1001.13
10215	1000	3.62	0.59	3.6	0.55	3.45	0.61	2.83	0.86	2.63	0.75	325	239	327.66	27.86	26.64	1001.13
10215	1010	3.64	0.54	3.48	0.53	3.38	0.67	2.94	0.86	2.56	0.99	328	239	336.09	28.11	27.01	1001.13
10215	1020	3.8	0.76	3.82	0.81	3.72	0.74	3.23	0.73	2.97	0.67	307	239	307.97	28.11	27.13	1001.13
10215	1030	4.02	0.8	3.82	0.87	3.47	0.89	3.1	0.82	2.82	0.93	314	239	316.41	28.11	27.5	1001.13
10215	1040	3.39	0.72	3.31	0.68	3.27	0.53	2.87	0.59	2.52	0.69	301	239	313.59	28.23	27.5	1001.06
10215	1050	3.76	0.64	3.88	0.67	4.01	0.53	3.82	0.55	3.52	0.56	309	239	312.19	28.59	27.86	1000.98
10215	1100	4.26	0.62	4.12	0.48	3.96	0.53	3.66	0.62	3.45	0.86	300	239	307.97	28.47	27.86	1000.91
